age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
22,technician,single,tertiary,no,1384.27,no,no,telephone,21,may,318,3,129,1,nonexistent,no
79,unemployed,divorced,tertiary,no,2918.18,no,no,unknown,13,jan,224,2,154,1,nonexistent,no
77,admin.,married,secondary,no,1526.48,yes,no,cellular,20,jan,221,4,371,1,nonexistent,yes
37,retired,married,secondary,no,-5073.23,no,no,unknown,11,apr,81,2,13,0,failure,yes
63,technician,married,secondary,no,799.44,yes,no,cellular,20,jul,317,1,-1,1,nonexistent,no
29,blue-collar,married,primary,no,4398.67,yes,no,cellular,23,apr,210,2,98,1,nonexistent,no
72,technician,married,secondary,no,-895.62,no,yes,cellular,13,dec,728,2,-1,0,failure,yes
68,self-employed,single,secondary,no,4162.84,yes,no,cellular,19,mar,108,1,100,0,nonexistent,no
43,technician,divorced,tertiary,no,1950.83,yes,no,cellular,16,may,87,5,151,0,nonexistent,no
22,unknown,married,secondary,no,825.53,no,no,cellular,3,may,86,3,-1,1,nonexistent,no
87,admin.,married,secondary,no,4117.45,no,no,cellular,2,apr,587,4,194,3,nonexistent,yes
50,management,married,secondary,no,3443.09,no,no,unknown,8,nov,86,4,178,0,nonexistent,no
82,retired,married,secondary,no,2661.64,no,no,unknown,8,apr,109,1,-1,0,nonexistent,no
66,blue-collar,married,unknown,no,4447.7,no,no,unknown,6,jan,219,1,-1,1,failure,yes
74,blue-collar,married,tertiary,no,2009.29,no,no,unknown,26,jul,204,3,275,1,failure,no
72,unknown,married,primary,no,-3534.0,yes,no,unknown,17,aug,119,8,221,1,nonexistent,no
32,admin.,married,primary,no,265.64,yes,no,unknown,2,jun,431,4,-1,0,nonexistent,yes
44,management,single,tertiary,no,-4013.21,yes,no,cellular,26,jun,394,4,83,0,nonexistent,no
51,technician,married,secondary,no,3372.09,yes,no,cellular,9,nov,299,5,220,0,failure,no
53,blue-collar,married,tertiary,no,4088.6,yes,no,unknown,28,may,139,2,-1,0,nonexistent,yes
21,management,married,secondary,no,4225.11,no,yes,cellular,7,aug,386,3,115,0,nonexistent,no
57,unknown,married,primary,no,2867.28,no,no,telephone,3,nov,490,4,148,2,nonexistent,no
29,management,married,secondary,no,4303.78,no,no,cellular,4,may,355,1,130,2,nonexistent,no
71,blue-collar,single,tertiary,no,-3329.81,yes,no,cellular,11,jul,23,4,283,2,nonexistent,no
67,admin.,divorced,unknown,no,1077.3,yes,no,cellular,26,may,213,3,-1,0,nonexistent,no
84,unemployed,single,tertiary,no,-2844.75,yes,no,telephone,16,aug,148,2,333,0,nonexistent,no
71,blue-collar,married,secondary,no,325.01,yes,no,cellular,4,jul,283,3,-1,0,nonexistent,no
44,management,married,tertiary,no,6248.76,yes,no,cellular,9,nov,742,3,-1,0,failure,no
87,admin.,married,primary,no,4679.71,no,no,cellular,14,apr,364,2,-1,0,nonexistent,no
47,management,married,secondary,no,3386.86,yes,no,cellular,16,feb,130,1,-1,0,nonexistent,no
41,unemployed,single,tertiary,no,855.14,no,no,cellular,24,jun,388,2,-1,0,nonexistent,no
83,management,married,secondary,no,-1580.78,yes,no,telephone,2,aug,93,2,69,0,nonexistent,no
44,unknown,married,unknown,no,1961.08,yes,no,cellular,1,apr,256,5,391,1,failure,no
23,blue-collar,married,secondary,no,4732.03,no,yes,unknown,21,dec,557,3,-1,0,failure,no
51,management,married,primary,no,2629.61,no,yes,cellular,4,jul,258,1,-1,0,nonexistent,no
75,technician,divorced,secondary,no,-3357.07,yes,no,unknown,20,oct,87,2,-1,1,nonexistent,no
31,management,married,tertiary,no,1713.83,no,yes,unknown,10,jul,239,2,-1,0,nonexistent,yes
51,blue-collar,married,secondary,no,-4339.98,yes,no,unknown,11,may,554,3,-1,0,nonexistent,no
27,technician,married,tertiary,no,3812.55,no,yes,unknown,5,nov,122,1,206,1,nonexistent,yes
67,housemaid,single,secondary,no,-679.02,yes,yes,cellular,22,feb,384,4,170,1,nonexistent,no
52,management,married,tertiary,no,-2269.36,yes,no,cellular,6,apr,575,2,-1,0,nonexistent,no
41,unknown,single,secondary,no,3853.79,no,no,cellular,1,oct,318,1,383,1,nonexistent,yes
34,blue-collar,married,secondary,no,3078.13,no,no,cellular,17,nov,247,4,-1,1,nonexistent,no
58,blue-collar,married,tertiary,no,2097.2,no,no,cellular,5,apr,131,4,-1,1,nonexistent,no
66,admin.,single,tertiary,no,7975.12,yes,no,cellular,5,jul,146,4,-1,0,nonexistent,yes
85,housemaid,married,secondary,no,3305.0,no,no,telephone,7,jun,196,3,27,0,failure,yes
49,blue-collar,married,secondary,no,-534.87,yes,no,cellular,18,sep,391,3,38,0,failure,yes
29,services,married,primary,no,2957.61,yes,no,cellular,22,jun,990,4,259,2,nonexistent,yes
77,blue-collar,married,unknown,no,541.77,yes,no,cellular,26,aug,123,2,18,0,nonexistent,no
63,services,married,tertiary,no,5200.28,yes,no,cellular,28,sep,355,4,48,1,nonexistent,no
68,blue-collar,single,tertiary,no,2242.93,yes,yes,cellular,7,oct,485,4,-1,0,nonexistent,yes
25,entrepreneur,married,tertiary,yes,2539.77,no,yes,unknown,7,feb,244,4,317,0,nonexistent,yes
40,entrepreneur,married,tertiary,no,-2927.11,yes,no,cellular,6,aug,236,3,-1,0,other,no
73,services,married,secondary,no,1584.05,no,no,unknown,6,mar,57,1,-1,0,nonexistent,no
77,management,single,secondary,no,1231.2,yes,yes,cellular,1,jan,274,4,144,0,nonexistent,no
49,entrepreneur,married,tertiary,no,-1672.64,no,no,cellular,17,sep,227,2,-1,1,nonexistent,no
75,technician,married,primary,no,735.5,yes,no,cellular,1,may,180,2,29,1,nonexistent,no
78,retired,single,primary,no,2707.26,yes,no,cellular,2,sep,308,3,-1,1,nonexistent,no
45,blue-collar,single,secondary,no,1386.95,no,no,cellular,12,dec,101,2,-1,0,nonexistent,no
82,technician,divorced,tertiary,no,-2836.3,no,no,cellular,23,feb,120,3,109,0,nonexistent,no
38,entrepreneur,married,tertiary,no,580.35,no,no,telephone,14,jun,278,2,-1,1,nonexistent,no
35,admin.,married,primary,no,-4.07,yes,no,telephone,12,feb,651,1,298,1,success,yes
67,management,married,unknown,no,1980.54,no,no,cellular,6,oct,208,5,-1,0,nonexistent,no
63,blue-collar,single,primary,no,1656.6,no,no,unknown,20,dec,244,5,380,1,nonexistent,no
28,blue-collar,married,secondary,no,165.16,no,no,telephone,10,nov,238,7,-1,0,nonexistent,no
77,student,married,unknown,no,48.01,yes,no,cellular,28,dec,97,3,-1,0,failure,no
32,blue-collar,married,tertiary,no,1601.67,yes,no,cellular,4,apr,188,3,-1,2,nonexistent,no
75,technician,single,tertiary,no,4288.93,yes,no,cellular,22,apr,269,3,259,0,nonexistent,yes
18,unemployed,single,tertiary,no,2235.92,no,no,unknown,20,nov,264,2,-1,1,failure,no
75,retired,married,tertiary,no,5669.21,yes,no,cellular,11,aug,326,5,-1,0,nonexistent,yes
74,services,divorced,secondary,no,4799.57,yes,no,cellular,12,may,93,3,-1,0,failure,no
74,services,divorced,secondary,no,5890.05,no,no,cellular,27,mar,141,2,15,2,nonexistent,no
65,unknown,married,tertiary,no,5505.88,no,no,cellular,21,jan,45,3,-1,0,nonexistent,no
51,entrepreneur,married,tertiary,no,6088.85,no,no,cellular,2,jan,587,2,216,2,nonexistent,no
68,blue-collar,single,secondary,no,-2059.43,no,no,cellular,16,sep,168,4,-1,1,success,yes
37,management,married,secondary,no,3342.28,yes,no,unknown,21,apr,289,2,333,0,nonexistent,no
74,management,married,secondary,no,5054.96,no,no,cellular,11,oct,234,1,-1,0,nonexistent,yes
58,blue-collar,married,secondary,no,5597.08,yes,yes,cellular,20,nov,17,2,-1,1,nonexistent,no
51,retired,divorced,tertiary,no,-912.16,yes,no,cellular,18,jun,77,2,-1,0,nonexistent,no
54,admin.,married,primary,no,3372.14,yes,yes,cellular,10,apr,226,3,-1,1,nonexistent,no
58,technician,single,secondary,no,1625.61,yes,no,telephone,1,mar,351,4,81,2,nonexistent,no
20,blue-collar,married,tertiary,no,6941.18,no,no,unknown,1,apr,331,2,-1,0,failure,yes
28,admin.,married,secondary,no,-2761.87,no,no,telephone,20,aug,67,3,-1,1,nonexistent,no
35,admin.,single,secondary,no,-907.87,yes,no,cellular,22,oct,96,4,27,0,success,yes
26,blue-collar,married,secondary,no,-4031.9,yes,no,unknown,11,sep,311,6,37,1,nonexistent,no
49,blue-collar,married,primary,no,1833.85,yes,no,unknown,14,dec,329,4,-1,1,failure,yes
66,admin.,married,secondary,no,8191.52,yes,no,cellular,15,aug,63,3,326,1,success,no
65,blue-collar,single,primary,no,1266.98,no,no,unknown,25,jul,309,2,166,1,nonexistent,no
51,blue-collar,married,primary,no,1703.1,no,no,telephone,15,may,225,1,214,1,nonexistent,no
79,housemaid,married,secondary,no,3050.72,yes,no,unknown,16,may,193,5,201,0,nonexistent,no
58,housemaid,married,secondary,no,1051.13,yes,no,cellular,16,may,664,5,8,1,nonexistent,no
23,blue-collar,married,primary,no,2498.08,no,no,cellular,4,nov,208,3,280,0,nonexistent,no
73,blue-collar,married,unknown,no,2576.64,no,no,unknown,20,jul,151,2,-1,0,nonexistent,no
59,admin.,married,primary,no,-1136.67,no,no,cellular,26,mar,408,4,-1,0,nonexistent,yes
63,admin.,married,secondary,no,1117.86,yes,no,unknown,4,mar,396,4,357,0,nonexistent,no
58,blue-collar,married,tertiary,no,3625.8,yes,yes,cellular,2,jan,565,1,336,1,nonexistent,yes
57,student,single,primary,no,4185.73,yes,no,cellular,14,nov,378,3,280,0,nonexistent,no
24,unknown,single,secondary,no,5295.5,no,no,telephone,22,mar,367,1,-1,1,nonexistent,yes
58,technician,married,tertiary,no,2406.31,yes,no,cellular,3,feb,239,3,-1,1,nonexistent,no
75,management,married,secondary,no,2467.36,no,no,cellular,21,apr,932,4,-1,0,nonexistent,yes
39,management,married,secondary,no,3650.55,yes,no,telephone,7,jun,101,2,-1,1,nonexistent,no
61,blue-collar,divorced,tertiary,no,-384.31,no,no,telephone,6,dec,336,3,320,1,failure,yes
20,technician,married,tertiary,no,-507.34,yes,no,cellular,6,nov,91,2,-1,1,nonexistent,no
43,technician,married,secondary,no,1025.61,no,yes,cellular,15,mar,239,3,-1,1,nonexistent,no
49,technician,married,primary,no,-2425.05,yes,no,cellular,17,jul,233,2,351,1,success,no
88,technician,married,primary,no,2620.7,no,no,cellular,13,oct,238,4,-1,1,nonexistent,no
33,management,married,tertiary,no,4547.25,yes,no,unknown,17,oct,40,3,282,0,nonexistent,yes
37,technician,married,secondary,no,-730.13,no,no,telephone,23,jun,167,4,-1,0,other,no
47,technician,single,primary,no,2705.45,no,no,cellular,24,mar,1046,3,-1,1,nonexistent,no
89,blue-collar,single,secondary,no,-487.39,yes,no,cellular,21,oct,259,2,124,0,nonexistent,no
79,technician,single,tertiary,no,-1649.73,yes,no,cellular,15,jun,469,2,249,3,nonexistent,yes
20,admin.,single,primary,no,7566.68,yes,no,cellular,7,mar,309,2,-1,1,nonexistent,yes
34,unknown,married,primary,no,-1606.7,yes,no,cellular,21,sep,863,4,286,1,nonexistent,no
77,technician,divorced,secondary,no,-2437.96,no,yes,unknown,19,nov,311,2,-1,1,nonexistent,no
22,admin.,single,tertiary,no,2044.15,yes,no,unknown,25,nov,260,4,253,0,nonexistent,yes
79,services,single,secondary,no,2205.56,yes,no,cellular,20,dec,73,4,-1,0,nonexistent,no
38,admin.,single,tertiary,no,3401.7,yes,no,telephone,4,aug,76,5,-1,0,nonexistent,no
84,technician,married,primary,no,7403.68,yes,no,cellular,16,oct,145,6,5,1,nonexistent,no
39,technician,married,secondary,no,-931.39,yes,no,cellular,21,mar,203,2,-1,0,success,no
49,retired,married,secondary,no,-335.31,no,no,cellular,28,apr,84,2,-1,0,nonexistent,no
65,technician,married,secondary,no,6226.42,yes,yes,cellular,10,feb,258,1,194,0,nonexistent,no
27,admin.,married,secondary,no,4217.37,no,no,cellular,25,jan,251,3,-1,0,nonexistent,no
58,blue-collar,married,tertiary,no,3800.24,no,no,unknown,8,nov,721,2,330,1,nonexistent,no
54,management,married,secondary,no,-369.61,yes,yes,cellular,11,jun,791,5,-1,0,success,yes
74,admin.,divorced,tertiary,no,4777.66,no,no,cellular,27,jul,409,5,80,0,nonexistent,yes
89,management,single,primary,no,3809.55,no,no,cellular,5,feb,417,5,79,1,nonexistent,no
65,blue-collar,married,secondary,no,1968.61,no,no,unknown,6,mar,524,7,158,1,success,yes
47,housemaid,married,secondary,no,-354.78,yes,no,cellular,24,jan,313,3,77,0,nonexistent,no
47,management,married,secondary,no,1720.09,no,no,unknown,26,jun,543,3,-1,1,nonexistent,no
48,technician,divorced,primary,no,6345.46,yes,no,unknown,3,jul,66,3,115,1,nonexistent,no
76,blue-collar,single,unknown,no,-1881.9,yes,no,cellular,24,feb,449,1,306,1,nonexistent,no
41,technician,single,tertiary,no,-999.4,yes,no,cellular,17,sep,88,1,207,0,nonexistent,no
30,management,married,tertiary,no,-483.41,yes,no,cellular,25,feb,100,2,-1,2,nonexistent,no
42,blue-collar,married,tertiary,no,167.54,no,no,cellular,14,nov,519,7,308,1,nonexistent,no
19,management,single,primary,no,1352.79,yes,no,cellular,17,dec,132,1,79,1,failure,no
25,management,divorced,secondary,no,4275.71,yes,no,unknown,7,aug,103,5,-1,1,nonexistent,no
24,blue-collar,married,secondary,no,2784.24,no,no,unknown,17,jul,329,2,-1,1,other,no
73,management,married,tertiary,no,1582.52,yes,no,cellular,12,sep,121,5,227,0,failure,no
70,blue-collar,married,secondary,no,2230.98,yes,no,cellular,12,mar,103,1,-1,1,nonexistent,no
68,entrepreneur,married,secondary,no,3271.97,yes,no,cellular,8,dec,58,3,230,0,nonexistent,yes
51,retired,divorced,tertiary,no,-3645.12,no,no,cellular,12,nov,162,3,-1,1,nonexistent,no
69,management,single,primary,no,4614.75,no,yes,cellular,5,sep,406,1,75,0,nonexistent,no
29,technician,married,tertiary,no,-1079.24,no,no,unknown,24,dec,449,5,28,1,nonexistent,yes
82,blue-collar,married,secondary,no,69.47,no,yes,cellular,12,apr,195,3,95,0,failure,no
54,unknown,married,tertiary,no,2421.31,no,no,cellular,11,nov,711,1,142,0,nonexistent,yes
85,technician,married,tertiary,no,1173.78,no,no,telephone,28,jan,343,4,-1,0,nonexistent,yes
28,unknown,married,secondary,no,2860.79,no,no,cellular,14,sep,526,4,322,0,nonexistent,no
53,technician,single,secondary,no,1825.48,no,no,unknown,20,apr,147,6,40,1,nonexistent,no
68,blue-collar,single,primary,no,532.0,no,no,unknown,28,dec,183,3,-1,1,nonexistent,yes
53,management,married,primary,no,5986.27,yes,yes,cellular,25,jul,205,3,73,1,nonexistent,yes
50,blue-collar,single,primary,no,3524.2,yes,no,cellular,10,mar,181,4,138,2,nonexistent,no
29,technician,single,secondary,no,2306.35,yes,no,unknown,15,apr,20,2,-1,1,nonexistent,no
45,retired,married,secondary,no,3477.56,yes,no,cellular,24,nov,248,2,338,0,success,no
35,blue-collar,single,secondary,no,-715.99,no,no,cellular,15,oct,309,2,350,1,nonexistent,no
39,technician,single,secondary,no,7924.32,no,no,unknown,8,may,295,2,-1,0,success,yes
67,admin.,single,tertiary,no,-1862.91,no,no,cellular,15,apr,765,6,-1,0,failure,no
63,retired,married,primary,no,1739.51,no,no,cellular,1,jan,805,4,-1,2,failure,yes
61,services,married,secondary,no,540.72,no,no,cellular,25,feb,41,3,111,0,nonexistent,no
44,admin.,married,secondary,no,426.76,no,no,cellular,17,jan,621,2,-1,0,nonexistent,yes
87,retired,married,primary,no,37.23,yes,no,unknown,8,apr,735,5,-1,1,failure,yes
24,technician,married,tertiary,no,-915.13,yes,no,telephone,14,mar,27,2,-1,0,nonexistent,no
42,admin.,single,primary,no,4965.03,yes,yes,cellular,1,jan,394,4,214,1,nonexistent,no
26,management,married,tertiary,no,-2214.11,yes,no,cellular,23,oct,253,3,-1,0,other,no
42,blue-collar,married,secondary,no,4350.69,yes,no,unknown,15,nov,710,2,143,1,nonexistent,no
87,services,divorced,tertiary,no,3345.61,yes,no,cellular,1,nov,679,3,-1,0,nonexistent,yes
44,admin.,married,tertiary,no,257.33,yes,no,cellular,13,nov,1320,3,387,1,nonexistent,yes
83,unemployed,married,tertiary,no,2997.82,yes,no,cellular,2,feb,405,2,269,1,nonexistent,no
53,technician,married,secondary,no,926.3,no,no,cellular,11,feb,354,2,216,0,nonexistent,no
68,blue-collar,married,secondary,no,-1903.02,yes,no,cellular,25,nov,120,5,208,0,nonexistent,no
50,blue-collar,married,tertiary,no,-1871.3,no,no,cellular,19,jan,159,1,309,0,nonexistent,no
37,retired,single,secondary,no,3366.32,yes,no,cellular,14,oct,366,3,41,0,nonexistent,no
73,services,married,secondary,no,3210.71,no,yes,cellular,15,feb,152,2,110,0,nonexistent,no
87,management,married,secondary,no,2126.03,no,no,telephone,15,jan,252,1,-1,1,nonexistent,yes
36,blue-collar,married,secondary,no,225.45,no,yes,cellular,3,oct,48,4,392,1,failure,yes
74,admin.,single,secondary,no,828.71,yes,no,unknown,7,sep,266,6,-1,0,success,no
36,unknown,married,primary,no,423.34,no,no,cellular,23,feb,32,2,-1,0,success,no
69,management,single,secondary,no,-3840.83,yes,yes,cellular,26,jan,514,1,-1,0,failure,no
74,technician,married,primary,no,1583.76,yes,yes,cellular,5,nov,277,1,-1,0,failure,yes
50,management,married,secondary,no,2967.36,no,no,cellular,26,apr,142,9,181,1,failure,no
71,technician,married,tertiary,no,1602.83,yes,no,cellular,1,dec,214,5,115,0,nonexistent,no
37,admin.,married,secondary,no,6707.45,yes,no,cellular,15,jul,154,3,-1,0,nonexistent,no
23,admin.,married,tertiary,no,-1613.69,no,no,cellular,24,dec,114,3,189,0,nonexistent,no
24,technician,single,primary,no,-583.31,yes,no,cellular,7,nov,172,3,77,0,nonexistent,no
50,unemployed,married,primary,no,1799.06,no,no,cellular,27,aug,173,2,86,1,nonexistent,yes
82,blue-collar,married,tertiary,yes,2131.3,yes,yes,telephone,28,feb,197,2,-1,0,nonexistent,no
27,entrepreneur,married,tertiary,no,-4303.63,yes,no,cellular,12,nov,18,3,-1,0,nonexistent,no
50,management,married,tertiary,no,3208.09,yes,no,unknown,25,may,542,3,169,0,nonexistent,no
68,management,married,tertiary,no,2144.95,yes,no,cellular,3,apr,550,2,334,2,nonexistent,yes
32,blue-collar,married,tertiary,no,-4958.18,no,no,cellular,15,jul,236,1,-1,0,nonexistent,no
69,technician,married,tertiary,no,1049.87,no,no,cellular,9,may,832,4,354,1,nonexistent,yes
40,blue-collar,married,tertiary,no,-1025.62,yes,no,unknown,18,sep,183,3,-1,0,failure,no
76,services,married,tertiary,yes,40.03,yes,yes,cellular,8,apr,261,4,-1,0,nonexistent,no
59,admin.,married,primary,no,-2614.3,no,no,unknown,13,nov,350,2,104,2,nonexistent,no
57,admin.,married,primary,no,2648.57,yes,yes,telephone,21,feb,255,4,-1,0,nonexistent,no
30,services,married,secondary,no,6685.33,yes,yes,cellular,6,jun,142,2,-1,1,nonexistent,yes
51,blue-collar,divorced,secondary,no,2195.07,yes,no,cellular,24,dec,246,3,313,0,nonexistent,no
79,services,married,tertiary,no,-5078.15,no,no,cellular,20,nov,66,5,-1,0,nonexistent,no
19,admin.,single,secondary,no,2256.79,yes,no,cellular,8,oct,114,4,-1,0,failure,no
72,unemployed,married,secondary,no,816.08,yes,no,unknown,19,aug,469,1,354,0,failure,no
53,student,married,tertiary,no,-1903.04,no,no,unknown,9,jul,1166,2,41,0,nonexistent,yes
69,technician,married,secondary,no,2460.87,no,no,cellular,16,mar,138,2,-1,1,nonexistent,yes
65,blue-collar,married,tertiary,no,4039.29,no,no,cellular,18,apr,207,1,-1,1,nonexistent,no
49,blue-collar,single,secondary,no,-605.48,no,no,cellular,23,jul,197,2,287,1,nonexistent,no
40,entrepreneur,single,secondary,no,-3531.2,no,yes,unknown,10,apr,290,1,-1,1,nonexistent,no
63,management,married,secondary,yes,-4635.02,no,no,cellular,13,apr,511,5,143,0,other,yes
28,blue-collar,single,secondary,no,-597.06,no,yes,telephone,13,sep,269,4,-1,0,nonexistent,no
60,admin.,married,primary,no,933.49,yes,no,cellular,25,sep,69,2,286,1,success,yes
24,entrepreneur,married,secondary,no,-148.02,yes,no,unknown,24,jun,148,4,-1,0,nonexistent,no
64,blue-collar,single,secondary,no,-649.85,no,no,cellular,7,apr,321,1,112,0,nonexistent,no
63,housemaid,married,secondary,no,3103.7,no,no,cellular,3,mar,179,1,-1,0,nonexistent,no
24,blue-collar,married,tertiary,no,2788.48,yes,yes,unknown,27,apr,185,3,-1,0,nonexistent,no
72,blue-collar,divorced,primary,no,1998.78,no,no,telephone,5,apr,189,3,-1,1,failure,no
47,self-employed,divorced,secondary,no,3849.46,no,no,cellular,6,dec,231,5,16,2,other,yes
74,housemaid,single,primary,yes,-568.92,yes,no,unknown,4,apr,106,3,-1,0,nonexistent,no
20,entrepreneur,married,tertiary,no,-1883.68,no,no,cellular,5,nov,463,1,95,0,nonexistent,yes
30,management,single,tertiary,no,-167.0,yes,yes,cellular,2,jul,69,2,329,1,success,yes
53,technician,married,unknown,no,-373.91,no,no,cellular,17,jun,316,2,-1,0,nonexistent,no
31,housemaid,married,tertiary,no,-4753.87,no,no,cellular,15,apr,156,4,32,0,nonexistent,no
41,retired,married,secondary,yes,-236.71,no,yes,telephone,3,oct,254,1,296,0,nonexistent,no
65,unknown,divorced,tertiary,no,4714.55,no,no,cellular,19,nov,606,2,-1,0,failure,no
28,management,divorced,secondary,no,3802.56,no,no,cellular,5,dec,597,4,-1,1,nonexistent,no
66,technician,single,tertiary,yes,2975.55,yes,no,unknown,16,oct,502,1,-1,3,nonexistent,no
25,technician,married,secondary,no,1794.85,no,no,cellular,21,feb,680,1,174,0,nonexistent,yes
30,admin.,married,secondary,no,5746.7,yes,no,cellular,12,nov,1044,2,9,0,nonexistent,yes
60,management,married,tertiary,no,-1780.5,no,no,cellular,9,aug,464,3,-1,1,failure,no
75,services,divorced,tertiary,no,-1494.48,yes,no,unknown,26,jul,350,4,55,0,nonexistent,no
30,unknown,married,unknown,no,4772.89,yes,no,cellular,23,apr,108,3,-1,0,nonexistent,no
39,management,married,primary,no,1482.81,yes,no,unknown,24,jul,394,3,-1,0,nonexistent,no
84,admin.,single,secondary,no,-613.53,yes,no,unknown,5,oct,265,3,-1,0,nonexistent,yes
89,retired,married,secondary,no,3055.77,yes,no,unknown,8,aug,775,4,-1,0,nonexistent,no
59,blue-collar,single,secondary,no,84.6,yes,no,unknown,11,feb,436,2,-1,0,nonexistent,no
50,student,married,secondary,no,-1112.58,yes,no,cellular,5,oct,86,3,-1,1,nonexistent,no
42,management,single,secondary,no,-1196.06,yes,no,unknown,11,oct,308,2,315,0,nonexistent,no
62,services,married,tertiary,no,2364.65,no,no,cellular,7,sep,476,3,-1,1,nonexistent,yes
60,technician,married,secondary,no,2017.45,yes,no,cellular,14,mar,261,2,391,0,other,yes
39,self-employed,married,tertiary,no,5950.24,no,no,cellular,20,apr,1025,4,160,1,nonexistent,no
19,retired,married,tertiary,no,529.73,yes,no,unknown,12,jun,424,2,-1,1,nonexistent,no
28,student,married,secondary,no,478.55,no,no,cellular,21,nov,111,4,-1,0,nonexistent,no
87,technician,married,secondary,no,5718.9,no,no,unknown,11,oct,104,7,-1,0,failure,no
48,technician,married,secondary,no,4356.94,no,no,unknown,14,feb,127,3,79,2,failure,yes
52,admin.,single,primary,no,1834.69,no,no,cellular,10,jan,164,2,162,0,nonexistent,no
51,retired,married,tertiary,no,-3283.04,no,yes,cellular,3,jan,251,5,345,1,success,yes
74,blue-collar,single,secondary,no,-1035.56,yes,yes,cellular,1,dec,324,3,270,0,nonexistent,no
22,technician,single,primary,no,-1762.28,yes,no,cellular,6,nov,606,2,-1,0,other,no
23,self-employed,married,unknown,no,1509.36,yes,yes,telephone,18,mar,466,1,-1,0,nonexistent,no
37,management,single,tertiary,no,-125.02,no,no,cellular,3,nov,189,3,56,0,nonexistent,yes
53,blue-collar,married,tertiary,no,6208.71,no,no,cellular,14,jul,191,2,146,1,nonexistent,no
66,blue-collar,married,secondary,no,-3314.31,yes,no,cellular,4,apr,449,3,296,3,other,no
